,,,,Irish Grid,,,,,
Kerry,505,KILLARNEY (ST.FINAN'S HOSP.),55,96400,91600,52.067,-9.507,1889,1988
Kerry,205,KILLARNEY (THE REEKS),15,83500,93700,52.083,-9.7,1956,1957
Kerry,705,KILLORGLIN (CALLINAFERCY),14,77900,99400,52.133,-9.783,1921,
Kerry,2605,KILLORGLIN (VOC.SCH.),28,77500,96200,52.103,-9.786,1952,1982
Kerry,3805,KILLORGLIN V.S. II,34,77900,95700,52.1,-9.776,1982,1988
Kerry,5205,KNIGHTSTOWN,72,41800,77300,51.922,-10.3,2006,
Kerry,2910,KNOCKNAGOSHEL (LOWER DERK),195,105400,125000,52.368,-9.386,1999,1999
Kerry,2710,KNOCKNAGOSHEL (MEINLEITRIM),183,106200,116700,52.29,-9.372,1992,
Kerry,910,KNOCKNAGOSHEL G.S.,152,106200,121100,52.333,-9.372,1941,1995
Kerry,1403,LAURAGH G.S.,8,77300,58300,51.758,-9.773,1952,1985
Kerry,2310,LISTOWEL (GROGEEN),67,101000,132800,52.436,-9.453,1979,2004
Kerry,2010,LISTOWEL (INCH),15,95600,136400,52.468,-9.535,1955,2015
Kerry,1810,LISTOWEL (RATHEA),91,98700,128300,52.392,-9.487,1948,1982
Kerry,2210,LISTOWEL (ST.MICHAEL'S COLL.),30,98900,134400,52.451,-9.486,1974,1979
Kerry,1010,LISTOWEL (TRANS.STN.),61,101600,132900,52.437,-9.442,1941,1972
Kerry,1110,LISTOWEL G.S.,47,99000,133900,52.442,-9.485,1941,1983
Kerry,3410,LISTOWEL-Bunaghara,34,103305,133215,52.439,-9.42,2013,
Kerry,3010,LISTOWEL_(Gurtocloghane),125,99900,125900,52.372,-9.468,2000,
Kerry,1910,LIXNAW G.S.,8,90100,129100,52.402,-9.609,1951,1985
Kerry,2510,LIXNAW GARRYNAGORE,15,88400,125200,52.367,-9.636,1985,1999
Kerry,1505,LYRANES (CARAGH RIVER AREA),85,72500,84100,51.99,-9.854,1949,1969
Kerry,3305,LYRANES-UPPER(CARAGH RVR.AREA),91,72500,84900,52.001,-9.854,1969,1990
Kerry,510,LYREACRUMPANE,128,98600,123700,52.353,-9.487,1939,1964
Kerry,2110,LYREACRUMPANE (CARRIGCANNON),183,97600,120600,52.323,-9.502,1964,1985
Kerry,1510,LYREACRUMPANE (REENAGOWN),187,97300,118200,52.303,-9.503,1947,2011
Kerry,9005,M.BALLAGHBEAMA GAP,311,75500,78300,51.939,-9.807,1949,
Kerry,9105,M.BALLAGHISHEEN GAP,329,67100,79000,51.942,-9.933,1949,1990
Kerry,8905,M.BEENREAGH MTN.,491,66100,85400,52.003,-9.95,1949,
Kerry,9103,M.CUMMERAGH NO.1,305,61000,71700,51.875,-10.018,1942,
Kerry,9203,M.CUMMERAGH NO.2,404,63400,71200,51.872,-9.983,1942,
Kerry,9303,M.CUMMERAGH NO.3,543,64100,70400,51.868,-9.971,1942,
Kerry,9403,M.CUMMERAGH NO.4,494,62000,69400,51.856,-10.002,1942,
Kerry,9503,M.CUMMERAGH NO.5,396,58200,68700,51.852,-10.055,1942,
Kerry,9603,M.CUMMERAGH NO.6,351,63400,75100,51.907,-9.984,1942,1989
Kerry,9703,M.CUMMERAGH NO.7,649,66500,74500,51.904,-9.937,1942,1983
Kerry,9903,M.CUMMERAGH NO.7A,183,62700,74000,51.901,-9.991,1977,1989
Kerry,9803,M.CUMMERAGH NO.8,52,54700,69100,51.853,-10.106,1942,1989
Kerry,8705,M.KILLARNEY (DROMDIRALOUGH),108,102000,85800,52.009,-9.423,1968,1992
Kerry,9205,M.OOLAGH MTN.,235,73700,90000,52.042,-9.838,1949,2010
Kerry,9305,M.TORC MANGERTON NO.1,223,95900,83100,51.987,-9.509,1942,1991
Kerry,9405,M.TORC MANGERTON NO.2,411,95500,83600,51.99,-9.52,1942,1978
Kerry,8605,M.TORC MANGERTON NO.2A,427,95300,83400,51.989,-9.522,1966,1991
Kerry,9905,M.TORC MANGERTON NO.3,808,97500,81200,51.971,-9.488,1942,1991
Kerry,9505,M.TORC MANGERTON NO.4,701,97900,81700,51.973,-9.485,1942,1991
Kerry,9605,M.TORC MANGERTON NO.4A,518,98400,82900,51.987,-9.474,1942,1991
Kerry,9705,M.TORC MANGERTON NO.5,283,99600,82600,51.985,-9.457,1942,1992
Kerry,9805,M.TORC MANGERTON NO.6,442,95600,80500,51.967,-9.518,1942,1991
Kerry,8805,M.TORC MANGERTON NO.7,436,97000,83400,51.989,-9.5,1966,1991
Kerry,4005,MACGILLYCUDDY (L.EIGHTER),451,77900,85200,52.003,-9.773,1983,1995
Kerry,1210,MOYVANE G.S.,62,107000,139600,52.5,-9.368,1941,1995
Kerry,2810,NORTH KERRY LANDFILL,259,95000,117400,52.292,-9.537,1997,2014
Kerry,1405,OOLAGH (CARAGH RIVER AREA),98,74200,90400,52.051,-9.834,1949,2010
Kerry,1905,PORTMAGEE G.S.,6,37500,72800,51.883,-10.356,1949,1983
Kerry,4606,RATHMORE CONVENT,168,114700,92500,52.073,-9.24,1969,1982
Kerry,906,RATHMORE G.S.,162,117000,93200,52.084,-9.207,1941,1985
Kerry,9406,RATHMORE_Bounard,200,111065,94065,52.088,-9.292,2015,
Kerry,4605,ROADS,125,53180,87365,52.018,-10.137,1996,
Kerry,1103,SNEEM,14,68900,66900,51.837,-9.902,1949,
Kerry,4611,TARBERT ISLAND,15,107800,149300,52.586,-9.357,1968,2013
Kerry,2305,TRALEE (BALLYDWYER),122,94200,114200,52.268,-9.55,1950,1972
Kerry,1009,TRALEE (CAHERWEESHEEN),8,84400,112100,52.252,-9.69,1957,1978
Kerry,109,TRALEE (CLASH),15,84700,114400,52.268,-9.687,1937,1996
Kerry,309,TRALEE (DROUMAVALLA),172,87400,109600,52.222,-9.642,1950,1984
Kerry,1509,TRALEE (LISABOULA),152,87400,109900,52.224,-9.642,1980,
Kerry,1309,TRALEE (LISDARA),18,84500,114900,52.271,-9.689,1978,1979
Kerry,1709,TRALEE (OAKVIEW),17,84200,115000,52.272,-9.691,1982,1995
Kerry,1109,TRALEE (ST.JOHN'S SCH.),12,83100,114900,52.271,-9.708,1969,1973
Kerry,1209,TRALEE U.D.C.,12,83200,114100,52.267,-9.707,1975,
Kerry,3705,VENTRY THE BOAT SLIP,3,38400,100400,52.126,-10.356,1982,
Kerry,2275,Valentia_Observatory,24,45940,78555,51.936,-10.238,2010,
Kerry,305,Valentia_observatory(manual),24,45799,78549,51.936,-10.239,1866,2012
Kerry,403,WATERVILLE (VOC.SCH.),26,50700,66800,51.833,-10.167,1942,1946
Kerry,803,WATERVILLE OCTIVE NO.10,110,54800,69700,51.857,-10.105,1942,1982
Kerry,1703,WATERVILLE OCTIVE NO.10A,163,60100,69900,51.859,-10.025,1982,1995
Kerry,703,WATERVILLE OCTIVE NO.9,110,58800,70600,51.868,-10.05,1942,
Waterford,7412,ADAMSTOWN,46,252400,108800,52.224,-7.226,1986,
Waterford,1907,ASHTOWN,122,236600,108600,52.223,-7.458,1993,1997
Waterford,5506,BALLINAMULT (DOON),168,217200,106800,52.208,-7.742,1984,
Waterford,506,BALLINAMULT G.S.,116,218400,106600,52.207,-7.725,1944,1956
Waterford,3612,BALLYMACARBERY G.S.,59,219300,112800,52.267,-7.717,1943,2014
Waterford,6112,BALLYSHONOCK RESERVOIR,94,246000,109300,52.233,-7.322,1972,1986
Waterford,707,BELLE LAKE (FILTER STN.),34,266800,105200,52.19,-7.021,1957,2014
Waterford,1906,CAPPAGH G.S.,25,217900,96400,52.118,-7.737,1944,1969
Waterford,1106,CAPPOQUIN (MT.MELLERAY),213,209500,104100,52.187,-7.857,1944,2013
Waterford,8106,CAPPOQUIN (STATION HOUSE),30,210600,99200,52.14,-7.841,2001,
Waterford,3106,CAPPOQUIN HSE.,70,210200,100000,52.151,-7.851,1951,1990
Waterford,312,CARRICK ON SUIR (SESKIN),163,238400,120600,52.335,-7.435,1900,1950
Waterford,807,DUNGARVAN (AGR.RES.STN.),15,223500,93200,52.087,-7.654,1963,1983
Waterford,1407,DUNGARVAN (CARRIGLEA),18,221805,92850,52.086,-7.676,1983,
Waterford,2007,DUNGARVAN (CLONEA),14,231200,94800,52.102,-7.54,1995,1998
Waterford,1607,DUNGARVAN (OLDCOTE),14,229800,94300,52.1,-7.559,1985,1995
Waterford,307,DUNGARVAN G.S.,7,226300,93100,52.087,-7.617,1944,1970
Waterford,107,DUNMORE EAST O.P.W.,8,269200,100000,52.142,-6.987,1930,1963
Waterford,2307,DUNMORE_EAST-Kilmacleague,35,264080,101900,52.16,-7.059,2014,
Waterford,8512,FAITHLEGG (GOLF CLUB),30,266800,111700,52.252,-7.02,1998,2013
Waterford,1107,FENOR(Islandtarsney),73,254120,100530,52.153,-7.206,1981,
Waterford,2107,FENOR_SOUTH,61,253120,100520,52.153,-7.221,2008,
Waterford,1707,"Fenor,Tramore",32,261600,98100,52.125,-7.093,1986,2008
Waterford,2106,GLENCAIRN (ST.MARY'S ABBEY),52,199800,98900,52.138,-8.002,1944,1997
Waterford,8006,GLENCAIRN (TOURTANE HOUSE),34,203300,96700,52.12,-7.951,2001,
Waterford,1007,GRANGE (BALLYLANGADON),101,217200,82700,51.991,-7.75,1977,2001
Waterford,407,KILL G.S.,88,245600,103100,52.173,-7.333,1950,1990
Waterford,606,KILLENAGH G.S.,107,206700,89000,52.052,-7.902,1944,1955
Waterford,1507,KILMACTHOMAS (GRAIGUERUSH),88,235400,106800,52.207,-7.475,1985,
Waterford,9106,KINSALEBEG-Ferrypoint,8,212300,78500,51.955,-7.82,2012,2015
Waterford,1712,KNOCKADERRY RESV.NO.1,71,249800,106700,52.206,-7.269,1886,2008
Waterford,1912,KNOCKADERRY RESV.NO.2,62,249400,106500,52.205,-7.273,1905,1990
Waterford,4006,KNOCKANORE,122,207750,90110,52.058,-7.886,1964,
Waterford,3306,KNOCKMEALDOWN MTNS. (THE GAP),250,204200,107200,52.217,-7.937,1952,1963
Waterford,207,LEAMYBRIEN G.S.,76,232700,102100,52.168,-7.52,1944,1985
Waterford,8506,LISMORE,53,204800,98000,52.134,-7.924,2003,2012
Waterford,9907,M.CROHAUN,469,227500,100600,52.154,-7.592,1984,
Waterford,907,MONATRAY EAST,55,214000,76600,51.938,-7.791,1975,2015
Waterford,8912,PORTLAW (BALLYVALLICAN),85,243000,113600,52.27,-7.369,2004,
Waterford,1612,PORTLAW (MAYFIELD),8,246600,115200,52.285,-7.317,1841,1994
Waterford,8212,PORTLAW-MAYFIELD II,8,247700,115700,52.288,-7.301,1994,
Waterford,4512,RATHGORMACK,160,233800,117400,52.304,-7.503,1950,2000
Waterford,507,RING G.S.,47,228000,88400,52.042,-7.588,1950,1997
Waterford,1807,STRADBALLY,76,236500,98200,52.134,-7.467,1993,2016
Waterford,607,STRADBALLY G.S.,53,237000,97800,52.125,-7.456,1950,1993
Waterford,3406,TALLOW,15,200900,94400,52.101,-7.986,1952,2000
Waterford,6406,TALLOW KILMORE,104,201200,91300,52.071,-7.976,1986,
Waterford,7706,TALLOWBRIDGE,79,199800,94900,52.104,-8.002,2000,
Waterford,1207,TRAMORE (KNOCKANDUFF),55,257200,101700,52.158,-7.158,1981,2010
Waterford,2207,TRAMORE_Ard_na_Groi,55,257990,102660,52.171,-7.152,2014,
Waterford,7312,WATERFORD (BALLINDUD),12,259800,108000,52.219,-7.122,1985,1998
Waterford,5112,WATERFORD (FAITHLEGG HSE.),30,266800,112300,52.255,-7.02,1956,1970
Waterford,112,WATERFORD (GLENVILLE),42,261300,111600,52.252,-7.102,1919,1951
Waterford,5712,WATERFORD (NEWTOWN SCH.),23,261500,111300,52.25,-7.1,1965,1983
Waterford,1812,WATERFORD (TYCOR),49,259400,111600,52.252,-7.125,1886,
Waterford,1307,WATERFORD AIRPORT,30,262800,104400,52.186,-7.076,1982,2002
Waterford,2806,YOUGHAL (BOOLA W.W.),122,205200,85000,52.017,-7.921,1948,1963
Waterford,4106,YOUGHAL (GLENDINE W.W.),107,206400,83900,52.004,-7.904,1964,
Waterford,4706,YOUGHAL (KINSALEBEG),58,212800,81000,51.975,-7.808,1978,1985
Tipperary,9012,AHERLOW (MACKENAGH),72,188390,128400,52.405,-8.169,2005,2012
Tipperary,8612,ARDFINNAN (GARRYDUFF),56,207800,115600,52.288,-7.885,1998,
Tipperary,4613,BALLINGARRY (JESSEFIELD HOUSE),122,234900,149900,52.593,-7.484,1984,1993
Tipperary,1013,BALLINGARRY STH. G.S.,205,231200,148400,52.585,-7.537,1943,1983
Tipperary,3012,BALLINURE G.S.,136,216000,145900,52.558,-7.758,1943,1984
Tipperary,3412,BALLYLOOBY G.S.,63,201100,119300,52.322,-7.983,1943,1969
Tipperary,9412,BALLYMACARBRY (GRAIGNAGOWER),72,221000,112200,52.257,-7.689,2008,2008
Tipperary,3512,BALLYPOREEN G.S.,84,193600,113100,52.268,-8.09,1943,1982
Tipperary,5012,BANSHA (AHERLOW W.W.),128,191700,128400,52.404,-8.12,1955,
Tipperary,3312,BANSHA (CHAIR HILL FOR.STN.),80,194000,133500,52.452,-8.087,1943,1971
Tipperary,1619,BIRDHILL-Parteen_Weir,34,168100,167900,52.757,-8.47,1923,2014
Tipperary,519,BORRISOKANE (SLEVYR),44,187700,201800,53.067,-8.183,1926,1947
Tipperary,419,BORRISOKANE (TRANS.STN.),74,191000,194400,53,-8.133,1929,1938
Tipperary,3419,BORRISOKANE G.S.,59,191600,194100,52.992,-8.122,1943,1988
Tipperary,2812,BORRISOLEIGH G.S.,108,202800,166900,52.752,-7.955,1943,1973
Tipperary,1112,CAHIR (SCARTNAGLORANE FOR.),91,199300,122200,52.351,-8.006,1951,1956
Tipperary,9312,CAHIR (TOUREEN),72,200815,128765,52.407,-7.987,2006,
Tipperary,4612,CAHIR (VOC.SCH.),53,205580,125435,52.375,-7.918,1951,
Tipperary,412,CAHIR ABBEY,47,204900,125700,52.383,-7.923,1897,1951
Tipperary,4812,CAHIR PARK,43,205100,123000,52.355,-7.922,1953,1980
Tipperary,6412,CAHIR PARK II,61,204895,122645,52.354,-7.924,1980,
Tipperary,3219,CAPPAWHITE G.S.,132,188700,148000,52.583,-8.167,1943,1983
Tipperary,6812,CARRICK-ON-SUIR II,18,240500,121200,52.338,-7.403,1983,
Tipperary,2012,CASHEL (BALLINAMONA),80,204900,139855,52.506,-7.924,1910,
Tipperary,7612,CASHEL (BALLYDOYLE HOUSE),123,211735,134390,52.457,-7.823,1988,
Tipperary,7512,CASHEL (BALLYKELLY),110,210000,144800,52.553,-7.851,1987,2001
Tipperary,2412,CASHEL (C.B.S.),104,207200,140600,52.517,-7.89,1940,1988
Tipperary,8312,CASHEL (CASTLEBLAKE),96,213600,132800,52.441,-7.8,1998,2003
Tipperary,7812,CLOGHEEN (CASTLEGRACE),46,203300,114300,52.275,-7.951,1991,2000
Tipperary,1312,CLOGHEEN (GLENLEIGH),55,200300,113400,52.27,-7.991,1953,1962
Tipperary,313,CLONAKENNY G.S.,130,211600,181400,52.883,-7.823,1943,1954
Tipperary,2112,CLONMEL (BALLINGARRANE),73,217100,119800,52.325,-7.742,1936,2000
Tipperary,8412,CLONMEL (ORCHARDSTOWN),69,219100,127200,52.391,-7.718,1998,2000
Tipperary,5512,CLONMEL (REDMONDSTOWN),64,223400,124700,52.37,-7.654,1962,
Tipperary,9212,CLONMEL RACECOURSE,72,221700,123800,52.359,-7.675,2006,2012
Tipperary,8112,CLONOULTY (CLOGHER),82,204400,152200,52.619,-7.934,1994,
Tipperary,6619,CLOUGHJORDAN (DEERPARK),107,197900,188800,52.95,-8.025,1995,2003
Tipperary,1919,CLOUGHJORDAN (MODREENY),84,195700,189100,52.952,-8.058,1931,1971
Tipperary,3519,CLOUGHJORDAN G.S.,94,197200,187900,52.938,-8.038,1943,1994
Tipperary,7019,CLOUGHJORDAN-Oxpark,86,197425,188365,52.941,-8.037,2014,
Tipperary,6219,DERRYMOUNT,73,171300,177600,52.843,-8.423,1984,1990
Tipperary,6519,DERRYMOUNT II,50,171300,177600,52.843,-8.423,1990,1993
Tipperary,2219,DOLLA G.S.,86,187100,171800,52.792,-8.188,1943,1994
Tipperary,1012,DRANGAN,110,228300,140700,52.517,-7.583,1944,1962
Tipperary,4112,DRANGAN (MOANVURRIN),122,228390,142480,52.533,-7.576,1962,
Tipperary,1212,DRUMBANE G.S.,87,203400,156000,52.653,-7.95,1943,1957
Tipperary,8012,DUNDRUM (GARRYDUFF),94,196000,145200,52.555,-8.056,1993,2001
Tipperary,6212,DUNDRUM (KILPATRICK),110,193500,145100,52.554,-8.091,1975,1996
Tipperary,6612,DUNDRUM (KNOCKAVILLA),101,198800,144200,52.543,-8.017,1981,1991
Tipperary,6512,DUNDRUM (STOOK W.W.),183,200300,153900,52.635,-7.991,1981,2013
Tipperary,3112,DUNDRUM G.S.,91,196600,145200,52.555,-8.05,1943,1974
Tipperary,3311,EMLY G.S.,116,175900,134900,52.459,-8.353,1951,1991
Tipperary,7112,FETHARD (PARSONSHILL),165,223845,140320,52.509,-7.643,1984,
Tipperary,4012,FETHARD G.S.,71,221000,135100,52.467,-7.688,1944,1965
Tipperary,3206,GALTEE MOUNTAINS,223,188100,119000,52.32,-8.172,1951,1984
Tipperary,5406,GALTEE MOUNTAINS SKEHEENARINKY,335,188700,119500,52.323,-8.16,1984,
Tipperary,4619,GURTEEN (AGR.COLL.),76,199100,198800,53.037,-8.008,1951,1967
Tipperary,1475,Gurteen,75,199466,198376,53.052,-8.005,2008,
Tipperary,912,HOLLYFORD G.S.,194,192500,153600,52.633,-8.107,1943,1958
Tipperary,9512,Holycross-Cabragh_Wetlands,94,211000,154300,52.637,-7.836,2012,
Tipperary,319,KILLALOE (BALLINA),38,170200,173100,52.805,-8.438,1908,1959
Tipperary,6012,KILLENAULE (RIVERSDALE),162,222200,146500,52.568,-7.67,1971,1977
Tipperary,3912,KILLENAULE (VOC.SCH.),171,222200,146500,52.568,-7.67,1944,1971
Tipperary,9112,KILSHEELAN,72,228900,123200,52.356,-7.572,2005,
Tipperary,3712,KILSHEELAN G.S.,19,228800,123400,52.357,-7.573,1943,1985
Tipperary,6719,LIMERICK JUNCTION (SOLOHEAD),101,186250,139590,52.504,-8.204,1996,
Tipperary,4412,LITTLETON,122,219700,153400,52.626,-7.706,1950,1982
Tipperary,6712,LITTLETON II B. NA M.,126,220380,151170,52.607,-7.7,1982,
Tipperary,3319,LORRHA G.S.,45,191800,204600,53.088,-8.12,1943,1983
Tipperary,9812,M.BANSHA (ROSSADREHID),125,193000,128200,52.403,-8.102,1938,1962
Tipperary,9912,M.THURLES (KNOCKLOUGH MTN.),421,198300,158500,52.673,-8.022,1950,1990
Tipperary,2612,MOYNE G.S.,128,219300,164700,52.733,-7.708,1943,1974
Tipperary,6312,MULLINAHONE (KILLAGHY),76,233320,141180,52.519,-7.506,1980,
Tipperary,219,NENAGH (CASTLE LOUGH),32,173800,182700,52.89,-8.387,1876,1961
Tipperary,5819,NENAGH (CONNOLLY PARK),55,187200,180000,52.869,-8.187,1971,2017
Tipperary,5719,NENAGH (CONVENT OF MERCY),61,186400,179400,52.859,-8.201,1967,1970
Tipperary,3719,NENAGH (TRANS.STN.),60,186900,178300,52.853,-8.19,1943,1966
Tipperary,5019,NENAGH (VOC.SCH.),61,186700,179500,52.867,-8.192,1956,1971
Tipperary,3812,NEW INN G.S.,99,207900,131900,52.437,-7.883,1944,1997
Tipperary,4719,NEWPORT (KILLOSCULLY),180,178000,168400,52.767,-8.322,1953,2011
Tipperary,5419,NEWPORT (VOC.SCH.),61,172600,162600,52.708,-8.403,1959,2005
Tipperary,1319,NEWPORT G.S.,60,172600,162300,52.707,-8.403,1943,1957
Tipperary,6919,NEWPORT_Coole,72,172840,163955,52.722,-8.402,2005,
Tipperary,4219,PORTROE G.S.,160,176300,181400,52.883,-8.352,1944,1990
Tipperary,3819,PUCKAUN G.S.,65,183900,186700,52.925,-8.237,1943,1968
Tipperary,4019,REARCROSS G.S.,210,183800,159500,52.685,-8.237,1943,1973
Tipperary,5219,ROSCREA (FANURE),64,211000,190500,52.959,-7.835,1957,1989
Tipperary,5319,ROSCREA (MT.ST.JOSEPH),76,209700,190400,52.958,-7.853,1958,1971
Tipperary,6119,ROSCREA (NEW ROAD),111,214700,190800,52.967,-7.775,1984,
Tipperary,2319,ROSCREA (TRANS.STN.),116,213800,188500,52.942,-7.79,1943,1972
Tipperary,2512,SHEVRIE G.S.,227,196800,159400,52.685,-8.042,1943,1970
Tipperary,4819,SILVERMINES MTNS.(CURREENY),312,190100,164700,52.733,-8.142,1953,
Tipperary,7212,SKEHEENARINKY BRACKBAWN,120,190000,117300,52.304,-8.141,1985,1997
Tipperary,4912,SLIEVENAMON (GLENASKAUGH),290,232100,133600,52.452,-7.523,1953,1990
Tipperary,8812,SLIEVENAMON G.C.,67,220100,130300,52.421,-7.703,1999,2005
Tipperary,3919,TEMPLEDERRY G.S.,141,194900,169300,52.772,-8.072,1943,1971
Tipperary,7712,TEMPLEMORE (OUR LADY'S),120,211500,171700,52.791,-7.824,1991,1999
Tipperary,2912,TEMPLEMORE G.S.,116,211400,171500,52.79,-7.825,1943,1967
Tipperary,5312,TEMPLETUOHY (BORD NA MONA),131,221600,168400,52.767,-7.675,1960,1999
Tipperary,2712,TEMPLETUOHY G.S.,134,218900,170900,52.787,-7.718,1943,1980
Tipperary,612,THURLES (HOLME LEA),110,213700,158500,52.673,-7.792,1943,1959
Tipperary,712,THURLES (KNOCKLOUGH RESV.),224,200100,158000,52.671,-7.992,1950,1952
Tipperary,4712,THURLES (SUGAR FACTORY),101,211800,156000,52.653,-7.822,1952,1985
Tipperary,8712,THURLES RACECOURSE,110,211500,159500,52.685,-7.825,1999,
Tipperary,512,TIPPERARY (ARD NA CREE),107,188900,136300,52.473,-8.158,1947,1953
Tipperary,5412,TIPPERARY (BOHERCROWE),104,187700,137700,52.487,-8.175,1962,1962
Tipperary,2212,TIPPERARY (CHURCH ST.),94,188700,136000,52.472,-8.167,1936,1963
Tipperary,5612,TIPPERARY (MICHAEL ST.),98,189100,136300,52.473,-8.156,1965,1969
Limerick,110,ABBEYFEALE (PRESBYTERY),91,112600,126500,52.383,-9.283,1937,1944
Limerick,410,ABBEYFEALE (SPRINGMOUNT),112,115300,128000,52.392,-9.24,1917,1975
Limerick,1410,ABBEYFEALE (ST.ITA'S COLL.),64,111500,126500,52.383,-9.3,1947,1983
Limerick,3310,ABBEYFEALE_CaherLane,155,112590,122980,52.351,-9.283,2010,
Limerick,2811,ADARE G.S.,8,146400,146100,52.558,-8.787,1951,1983
Limerick,6411,ADARE MANOR,15,146900,145000,52.552,-8.783,2004,
Limerick,2911,ASKEATON G.S.,15,134300,150300,52.6,-8.968,1951,1972
Limerick,4711,ASKEATON(CLOONREASK) G.S.,17,133800,150300,52.6,-8.973,1973,1977
Limerick,710,ATHEA G.S.,81,112400,134900,52.455,-9.287,1941,1985
Limerick,2610,ATHEA_Templeathea,122,115225,135855,52.467,-9.242,1985,
Limerick,6311,BALLYHAHILL_Glenbawn,187,118100,140700,52.507,-9.204,2000,
Limerick,2311,BALLYLANDERS G.S.,162,176500,124300,52.368,-8.34,1943,1985
Limerick,2211,BALLYNEETY G.S.,86,162900,149700,52.592,-8.542,1943,1990
Limerick,3711,BRUFF,80,163100,136500,52.474,-8.54,1952,1997
Limerick,3111,CAHERCONLISH G.S.,64,168200,149000,52.588,-8.468,1951,1993
Limerick,3019,CAPPAMORE G.S.,60,177000,151500,52.608,-8.337,1943,1987
Limerick,5919,CASTLECONNELL,37,167805,162325,52.707,-8.473,1979,
Limerick,619,CASTLECONNELL RECTORY,0,166200,163000,52.717,-8.5,1914,1939
Limerick,4911,CASTLEMAHON W.W.,58,131515,131260,52.424,-9.005,1982,
Limerick,6419,COOGA_LowerDoon,88,181630,150790,52.605,-8.27,1984,
Limerick,6211,CROAGH_Smithfield,72,141760,143675,52.538,-8.856,1999,
Limerick,3211,CROOM (VOC.SCH.),34,151600,141300,52.519,-8.708,1951,1983
Limerick,711,DRUMCOLLOGHER G.S.,121,138700,120600,52.333,-8.9,1943,1945
Limerick,811,FEDAMORE G.S.,86,159500,143800,52.54,-8.592,1943,1952
Limerick,211,FOYNES (COOLNAVEE),15,124300,150400,52.6,-9.117,1919,1944
Limerick,311,FOYNES (VOC.SCH.),7,125500,150400,52.6,-9.1,1918,1939
Limerick,611,FOYNES AIRPORT,4,124900,151400,52.605,-9.105,1937,1946
Limerick,3212,GALBALLY G.S.,116,179800,127600,52.4,-8.292,1943,1985
Limerick,7606,GALTEE W.W. (LOUGHANANNA),209,187400,118000,52.308,-8.184,1996,2001
Limerick,1419,GLENSTAL PRIORY,116,173700,156700,52.657,-8.387,1956,1959
Limerick,2011,GLIN G.S.,20,113000,147200,52.568,-9.283,1943,1994
Limerick,4511,HERBERTSTOWN (AGR.RES.STN.),94,169700,141600,52.522,-8.441,1964,1965
Limerick,4111,HOSPITAL (VOC.SCH.),101,170700,135400,52.468,-8.425,1957,2001
Limerick,7106,KILBEHENY (BALLINATONA),122,187500,115700,52.289,-8.183,1992,1996
Limerick,2511,KILFINANE G.S.,190,168400,122800,52.353,-8.458,1943,1985
Limerick,5411,KILFINNANE EDUCATION CENTRE,165,168000,123200,52.356,-8.469,1987,2000
Limerick,4311,KILMALLOCK (L.GUR),91,164000,139900,52.506,-8.525,1961,1965
Limerick,2411,KILMALLOCK G.S.,89,160900,127400,52.392,-8.572,1943,1999
Limerick,1311,KILMEEDY (HEATHFIELD),158,139700,130100,52.418,-8.885,1938,1963
Limerick,3811,KILMEEDY G.S.,108,137600,129700,52.409,-8.917,1952,1995
Limerick,6511,KNOCKADERRY_Lissaniska,81,133315,134120,52.453,-8.976,2014,
Limerick,411,KNOCKLONG (KILFRUSH),98,171500,133900,52.453,-8.418,1917,1951
Limerick,5611,LIMERICK (GOLF CLUB),20,157500,152700,52.621,-8.623,1990,1995
Limerick,1011,LIMERICK (MULGRAVE ST.),29,158100,156800,52.657,-8.618,1895,1967
Limerick,2611,LIMERICK (O'CURRY ST.)G.S.,15,157200,156700,52.656,-8.633,1944,1977
Limerick,5011,LIMERICK (OLD CORK ROAD),30,159800,155100,52.641,-8.59,1984,1995
Limerick,4411,LIMERICK (SEXTON ST.)C.B.S.,17,157900,156500,52.655,-8.62,1962,1966
Limerick,511,LIMERICK (THE CRESCENT),20,157100,156200,52.653,-8.633,1926,1955
Limerick,5811,MEANUS,50,158400,140200,52.507,-8.608,1993,2004
Limerick,5306,MOUNT RUSSELL,195,161250,119905,52.324,-8.568,1984,
Limerick,4319,MURROE G.S.,89,173100,155300,52.642,-8.392,1951,2012
Limerick,5711,NEWCASTLE-WEST_Castle-Demesne,61,127585,133740,52.451,-9.16,1992,
Limerick,2111,NEWCASTLEWEST G.S.,60,128100,133700,52.45,-9.055,1943,1971
Limerick,3119,OOLA G.S.,84,182500,142200,52.525,-8.255,1943,1994
Limerick,4419,PALLAS G.S.,58,177200,146400,52.567,-8.335,1951,1967
Limerick,1211,PALLASKENRY (AGRIC.COLL.),21,141700,155100,52.64,-8.857,1933,1973
Limerick,1811,PATRICKSWELL G.S.,24,152000,149800,52.592,-8.705,1943,1985
Limerick,4811,PATRICKSWELL_Dooneen,27,154455,149470,52.59,-8.67,1981,
Limerick,1911,RATHKEALE G.S.,46,136300,141900,52.522,-8.937,1943,1969
Limerick,5111,RATHKEALE_Duxton,90,138095,136815,52.474,-8.907,1984,
Limerick,4211,SHANAGOLDEN (VOC.SCH.),30,125600,147300,52.57,-9.092,1960,1994
Limerick,3011,SHANAGOLDEN G.S.,35,125400,147300,52.57,-9.1,1951,1981
Limerick,6111,SHANAGOLDEN_OldAbbey,34,128010,147660,52.572,-9.058,1994,
